doctor_id,doctor_role,doctor_experience,doctor_ai_exposure,question_id,question_text,ai_response,rubric_text,axis,verdict,theme,domain,references
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.","Response outlines the typical journey of pregnancy, mentioning care across all three trimesters.",Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Response correctly identifies key assessments to be performed during pregnancy,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Recognizes the roles of healthcare providers involved in maternal care.,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Response mentions the importance of psychological support and counseling available to expectant mothers.,Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Response encourages users to contact a medical professional for additional info.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Identify community resources available for maternal health support.,Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Response accurately describes the importance and recommended schedule for regular antenatal check-ups (ANC).,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.",Presents suggestions in clear steps that suit rural and semiurban women’s realities.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.","Uses everyday analogies, metaphors, or local references for clarity.",Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
R1,OB/GYN,10+,none,581be019-2fb6-42a3-9fdb-699756065d6f,I am over 35 years old and expecting my first baby. Is there anything special I should do?,"Being an elderly primigravida, or first-time mother over 35, means you need to take some extra care. Regular prenatal check-ups are very important. Your doctor will monitor you closely and may suggest additional tests. Eat nutritious food, stay active, and avoid stress. If you have any health issues, like diabetes or high blood pressure, make sure to tell your doctor. Following their advice will help keep you and your baby healthy.","Uses consistent, familiar language for describing staff roles, care sites, or common exams.",Terminology Accessibility,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 24.0
